gene	Mouse_vs_Human	Monkey_vs_Human	Monkey_vs_Mouse	MonkeyD_vs_Human	MonkeyC_vs_Human	MonkeyB_vs_Human
AAK1	-0.644582054848854	0.927342786769525	0.954160214661747	0.927342786769525	0.768016185448472	0.644582054848854
AARS2	-0.0137268023986173	-0.184313351090616	0.827781858196687	-0.184313351090616	0.0807228922713037	-0.0137268023986173
AASDHPPT	-0.82523191978359	0.892626732916072	0.0750226526587195	0.892626732916072	0.919639491548113	0.82523191978359
AASS	-0.148137301400419	-0.0284108138740319	-0.912170740743349	-0.0284108138740319	-0.0744612458260065	-0.148137301400419
ABAT	-0.479185485935389	-0.0242964059689906	0.763060004314176	-0.0242964059689906	0.697090627039468	0.479185485935389
ABCA2	-0.846241121732846	0.0490274643480945	-0.464483286004184	0.0490274643480945	0.00853418721503021	-0.846241121732846
ABCA5	-0.796262482831472	-0.512620911671064	0.522749495425862	-0.512620911671064	-0.143233781827567	0.796262482831472
ABCB6	0.694031714515579	0.737864705553755	-0.0341042683142445	0.737864705553755	0.829510088237524	0.694031714515579
ABCB7	-0.204301870853202	0.708416057077485	0.825908018508605	0.708416057077485	-0.177256577493216	0.204301870853202
ABCB8	0.919896684551585	0.600548049369947	0.975176148117022	0.600548049369947	0.658619388940606	0.919896684551585
ABCD2	-0.293523489166023	-0.645005340238535	0.33609038302603	-0.645005340238535	-0.584837561769909	0.293523489166023
ABCD3	0.614833022728226	0.404609041735546	0.746978296743726	0.404609041735546	0.15518866938149	0.614833022728226
ABCE1	0.45574767689326	0.274792344099241	0.644378711983027	0.274792344099241	0.237728107654249	-0.45574767689326
ABCF1	0.625366848910012	0.22210762699809	0.729087680435999	0.22210762699809	-0.122015409357136	0.625366848910012
ABCF3	-0.737210709229638	-0.438092414593404	-0.894812702015813	-0.438092414593404	-0.0580214357533578	0.737210709229638
ABHD10	0.484052104555591	0.932948039271711	-0.495400731645978	0.932948039271711	0.942041134941681	0.484052104555591
ABHD11	-0.0149487633595611	0.189410758575503	-0.513527177995239	0.189410758575503	0.388943911195748	0.0149487633595611
ABHD12	0.496550767545454	0.7006779150429	0.748085149428751	0.7006779150429	0.320714691161723	0.496550767545454
ABHD14B	-0.580947222170198	0.672912980160328	0.179259094687025	0.672912980160328	0.62355348439878	0.580947222170198
ABHD17B	0.197299105482183	0.311192232954694	0.613395680748268	0.311192232954694	0.421926509195805	0.197299105482183
ABI1	-0.586807990454258	0.950475961275733	0.508052063220409	0.950475961275733	0.744332440367203	0.586807990454258
ABI2	0.746065450272014	0.901155176973782	0.744341369598473	0.901155176973782	0.964081289987899	0.746065450272014
ABL2	0.152737122009788	0.717418573811744	0.926958098301843	0.717418573811744	0.29096137349891	-0.152737122009788
ABLIM1	-0.24671411381498	0.158933845489758	-0.00903484166108929	0.158933845489758	-0.264940838017663	-0.24671411381498
ABLIM2	-0.83773673937018	0.743564955208497	0.325978919398551	0.743564955208497	0.908778377464304	0.83773673937018
ABLIM3	0.35829348880259	0.910095348995942	0.835845110982501	0.910095348995942	0.200318228493119	0.35829348880259
ABR	-0.551196737839193	0.965775914185881	0.927404440717116	0.965775914185881	0.918249330515488	0.551196737839193
ABRACL	-0.120295311286595	0.236837434476399	0.437916003600818	0.236837434476399	-0.333294709120491	-0.120295311286595
ACAD8	-0.937217184718909	0.630603022673912	-0.678008410988735	0.630603022673912	0.592362102410165	0.937217184718909
ACAD9	0.880515002954633	0.919193768009312	0.793523580708321	0.919193768009312	0.847054153472782	0.880515002954633
ACADM	-0.902998444297505	0.25890037107352	0.252937390914413	0.25890037107352	0.736037603874818	0.902998444297505
ACADS	0.948985570357799	0.472008855656941	0.260937937121568	0.472008855656941	0.86874788490261	0.948985570357799
ACADSB	-0.982396107473351	-0.395147156000852	-0.784151846865167	-0.395147156000852	0.919789269486879	0.982396107473351
ACADVL	0.511687149422166	0.725483895189223	0.766186917191786	0.725483895189223	0.491747660286798	0.511687149422166
ACBD3	0.215832148992005	0.47723700722123	0.575998274114351	0.47723700722123	0.901122491138485	-0.215832148992005
ACBD5	0.46032632040463	-0.621935175704879	-0.778508661602834	-0.621935175704879	-0.0951001187940033	0.46032632040463
ACE	-0.093932501572789	0.899033318262692	0.928534840621103	0.899033318262692	0.243634912794985	0.093932501572789
ACHE	0.612730305380344	0.949344060420647	0.709119729668615	0.949344060420647	0.791361761652472	0.612730305380344
ACIN1	-0.284641977452349	0.760257285316748	0.891001603207791	0.760257285316748	0.615943673415489	0.284641977452349
ACLY	-0.0747767761571966	0.786317754847038	-0.371919815614426	0.786317754847038	0.320350602361035	-0.0747767761571966
ACO1	-0.594588902742271	0.854363234970968	0.935126665523383	0.854363234970968	0.843941177296513	0.594588902742271
ACO2	0.168657551652939	0.144370818552389	0.714548803539369	0.144370818552389	0.0397668197575614	0.168657551652939
ACOT13	0.399544228591097	0.880870611551989	0.0966669546305298	0.880870611551989	0.819096280257387	-0.399544228591097
ACOT7	0.103487910435051	0.809128453400821	-0.0777592731194203	0.809128453400821	0.841607302972589	0.103487910435051
ACOT8	-0.468396774938896	0.496634187322483	0.433925099338857	0.496634187322483	0.775557012574179	0.468396774938896
ACOT9	0.896427306006937	0.840118281437353	0.751904817322027	0.840118281437353	0.892276175409239	0.896427306006937
ACOX1	-0.366916524700772	0.538314111184669	0.599851362196184	0.538314111184669	0.692581606461463	0.366916524700772
ACOX3	-0.0302100551605781	0.0302871540948248	0.599321534035075	0.0302871540948248	-0.134758485982781	-0.0302100551605781
ACP2	-0.814437505516326	0.442193206799074	-0.396834367648405	0.442193206799074	0.825226616107045	0.814437505516326
ACSBG1	0.247607378161165	0.574299066896351	0.929291998437044	0.574299066896351	0.582378806048945	0.247607378161165
ACSF2	-0.309464889693589	0.569546814504864	0.352167805845038	0.569546814504864	0.627341133988541	0.309464889693589
ACSL1	0.762565979209524	0.245609117696734	0.716288376785916	0.245609117696734	-0.271219536658635	0.762565979209524
ACSL3	-0.718157649802116	0.957404158258707	0.478196923278305	0.957404158258707	0.720679430165621	0.718157649802116
ACSL4	0.942109187164224	0.963047169573248	0.958256485216193	0.963047169573248	0.947075901285008	0.942109187164224
ACSS1	0.263326793297302	0.137636164011509	0.323128730034037	0.137636164011509	-0.578085256031266	-0.263326793297302
ACSS2	0.518484526311869	-0.600770188787303	0.0958977695786287	-0.600770188787303	0.257442834618089	0.518484526311869
ACTBL2	0.940351016834213	-0.772641863973344	0.940667559747738	-0.772641863973344	-0.779685332754978	-0.940351016834213
ACTC1	0.351335184607601	0.289162106570267	-0.154863515743334	0.289162106570267	0.613241621794706	0.351335184607601
ACTL6A	-0.920923213194508	0.930050034513285	0.937023876630472	0.930050034513285	0.919708597018253	0.920923213194508
ACTL6B	-0.546813175811221	0.856685851775755	0.952244820360589	0.856685851775755	-0.021140034609297	-0.546813175811221
ACTN2	-0.830976048810814	0.987616587410096	0.858535190544626	0.987616587410096	0.981042681059179	0.830976048810814
ACTN4	-0.719754023946159	0.525017471037738	0.414572395957487	0.525017471037738	-0.512871979012089	-0.719754023946159
ACTR10	0.00565940398210952	0.712648026351673	0.131219741018469	0.712648026351673	0.639226286104833	-0.00565940398210952
ACTR1A	0.577212656974254	0.602433937487278	0.757915733779975	0.602433937487278	-0.393226516726203	0.577212656974254
ACTR1B	0.788724497439479	0.547079131584308	0.173668015331769	0.547079131584308	0.343618646876422	-0.788724497439479
ACTR2	0.778391927488377	0.927003656129305	0.991508442926545	0.927003656129305	0.764360406783037	0.778391927488377
ACTR3	-0.313387746964055	0.458906654933495	-0.191101888873959	0.458906654933495	0.0418635821026966	0.313387746964055
ACTR3B	0.915893186280056	0.975233359157828	0.954627697721152	0.975233359157828	0.950821170817646	0.915893186280056
ADAM10	0.400614815457771	-0.409631742955105	-0.390373964513813	-0.409631742955105	0.0533172055746966	-0.400614815457771
ADAM11	0.852851171543939	0.0143957848365703	0.512621614706536	0.0143957848365703	0.560870617317082	0.852851171543939
ADAM22	-0.0943540790918799	0.216674117502666	0.069889482259861	0.216674117502666	0.538674104573255	0.0943540790918799
ADAM23	-0.128173360309494	0.986907810287738	0.826822206227722	0.986907810287738	0.864659012482889	-0.128173360309494
ADAP1	-0.489287009893173	0.976775941822389	-0.217431417027052	0.976775941822389	0.989420612762219	0.489287009893173
ADAR	0.0658609644962167	0.84628357168481	-0.725883674246914	0.84628357168481	0.82712727050756	0.0658609644962167
ADARB1	-0.644716439548538	0.966990612708456	0.0948108894976832	0.966990612708456	0.472645829661649	0.644716439548538
ADCY1	-0.000261578360658083	0.920974423009398	0.620274640557128	0.920974423009398	0.872297611506541	-0.000261578360658083
ADCY2	-0.369069622649348	-0.0419787980587827	0.394860903461052	-0.0419787980587827	0.142092037941176	0.369069622649348
ADCY5	0.744433638371269	0.899327796491152	0.996796394934138	0.899327796491152	0.840969408331762	0.744433638371269
ADCY8	0.232117807817437	0.549809267057139	0.969733906484445	0.549809267057139	0.86014031448979	-0.232117807817437
ADCYAP1R1	0.598056912404745	0.492057168322934	-0.540389362949042	0.492057168322934	0.356180496710357	0.598056912404745
ADD1	-0.683328659880264	0.308275137697019	0.213217919943466	0.308275137697019	0.836674185535555	0.683328659880264
ADD2	0.948171345865347	0.894515081914732	0.904229732553801	0.894515081914732	0.940358566639743	0.948171345865347
ADD3	-0.5786863146287	0.974649612236447	0.359250879541104	0.974649612236447	0.842614992188244	0.5786863146287
ADK	-0.177484062874842	0.461601438892952	0.621239330344255	0.461601438892952	0.352927687285915	-0.177484062874842
ADNP	0.0792369351045002	0.861578032469715	0.896830014995985	0.861578032469715	0.73219005794226	-0.0792369351045002
ADO	0.291149152712192	0.581797275969336	0.630264188990956	0.581797275969336	0.567318923724673	0.291149152712192
AFG3L2	-0.672426749836241	0.896205628096515	0.85178770378026	0.896205628096515	0.450179085439794	0.672426749836241
AFTPH	0.0806833357451945	0.326624808019213	-0.371269032888168	0.326624808019213	0.0993929104216705	0.0806833357451945
AGAP1	-0.465837807814321	0.37404498203039	0.383956132643466	0.37404498203039	0.134408166699938	0.465837807814321
AGAP2	0.843770873098308	0.973687674897272	0.991297105535376	0.973687674897272	0.917316739278685	0.843770873098308
AGAP3	-0.987611527218042	0.803539292987089	0.933121318235993	0.803539292987089	0.789617416428304	0.987611527218042
AGK	0.680648470499379	0.797047697905394	0.877540346340303	0.797047697905394	0.853393604839858	0.680648470499379
AGL	0.259754974682445	-0.285785296681716	-0.194632422380262	-0.285785296681716	-0.0156179809178179	-0.259754974682445
AGO1	0.167022618773446	0.963171169073559	-0.74218341288923	0.963171169073559	0.828887825781836	0.167022618773446
AGO2	-0.281442230756661	0.990729018619081	-0.49638530159081	0.990729018619081	0.595355041630111	0.281442230756661
AGPAT1	-0.106955640432011	-0.632423474002389	0.426894595895338	-0.632423474002389	-0.529865251235636	-0.106955640432011
AGPAT3	-0.885735213192277	0.919381103191257	0.404424315503307	0.919381103191257	0.239754713163035	0.885735213192277
AGPAT5	-0.392852597746068	0.628418138616298	0.277214948537686	0.628418138616298	0.140757093410457	-0.392852597746068
