Sample	Species	Brain	Sex	Region	NCXRegion	Age	Days	Period	Predicted age (PC Days)	Predicted period
RMB209.AMY	Macaque	RMB209	F	AMY	AMY	E60	60	NA	101.875	4
RMB209.CBC	Macaque	RMB209	F	CBC	CBC	E60	60	NA	101.875	4
RMB209.HIP	Macaque	RMB209	F	HIP	HIP	E60	60	NA	101.875	4
RMB209.MD	Macaque	RMB209	F	MD	MD	E60	60	NA	101.875	4
RMB209.DFC	Macaque	RMB209	F	DFC	NCX	E60	60	NA	101.875	4
RMB209.STC	Macaque	RMB209	F	STC	NCX	E60	60	NA	101.875	4
RMB209.VFC	Macaque	RMB209	F	VFC	NCX	E60	60	NA	101.875	4
RMB209.ITC	Macaque	RMB209	F	ITC	NCX	E60	60	NA	101.875	4
RMB209.MFC	Macaque	RMB209	F	MFC	NCX	E60	60	NA	101.875	4
RMB209.V1C	Macaque	RMB209	F	V1C	NCX	E60	60	NA	101.875	4
RMB209.OFC	Macaque	RMB209	F	OFC	NCX	E60	60	NA	101.875	4
RMB209.M1C	Macaque	RMB209	F	M1C	NCX	E60	60	NA	101.875	4
RMB209.S1C	Macaque	RMB209	F	S1C	NCX	E60	60	NA	101.875	4
RMB209.IPC	Macaque	RMB209	F	IPC	NCX	E60	60	NA	101.875	4
RMB209.A1C	Macaque	RMB209	F	A1C	NCX	E60	60	NA	101.875	4
RMB209.STR	Macaque	RMB209	F	STR	STR	E60	60	NA	101.875	4
RMB228.AMY	Macaque	RMB228	M	AMY	AMY	E60	60	NA	115.292	5
RMB228.CBC	Macaque	RMB228	M	CBC	CBC	E60	60	NA	115.292	5
RMB228.HIP	Macaque	RMB228	M	HIP	HIP	E60	60	NA	115.292	5
RMB228.MD	Macaque	RMB228	M	MD	MD	E60	60	NA	115.292	5
RMB228.A1C	Macaque	RMB228	M	A1C	NCX	E60	60	NA	115.292	5
RMB228.DFC	Macaque	RMB228	M	DFC	NCX	E60	60	NA	115.292	5
RMB228.IPC	Macaque	RMB228	M	IPC	NCX	E60	60	NA	115.292	5
RMB228.ITC	Macaque	RMB228	M	ITC	NCX	E60	60	NA	115.292	5
RMB228.M1C	Macaque	RMB228	M	M1C	NCX	E60	60	NA	115.292	5
RMB228.MFC	Macaque	RMB228	M	MFC	NCX	E60	60	NA	115.292	5
RMB228.OFC	Macaque	RMB228	M	OFC	NCX	E60	60	NA	115.292	5
RMB228.S1C	Macaque	RMB228	M	S1C	NCX	E60	60	NA	115.292	5
RMB228.STC	Macaque	RMB228	M	STC	NCX	E60	60	NA	115.292	5
RMB228.V1C	Macaque	RMB228	M	V1C	NCX	E60	60	NA	115.292	5
RMB228.VFC	Macaque	RMB228	M	VFC	NCX	E60	60	NA	115.292	5
RMB228.STR	Macaque	RMB228	M	STR	STR	E60	60	NA	115.292	5
RMB193L.CBC	Macaque	RMB193L	F	CBC	CBC	E81	81	NA	121.841	5
RMB193L.DFC	Macaque	RMB193L	F	DFC	NCX	E81	81	NA	121.841	5
RMB193L.IPC	Macaque	RMB193L	F	IPC	NCX	E81	81	NA	121.841	5
RMB193L.ITC	Macaque	RMB193L	F	ITC	NCX	E81	81	NA	121.841	5
RMB193L.M1C	Macaque	RMB193L	F	M1C	NCX	E81	81	NA	121.841	5
RMB193L.MFC	Macaque	RMB193L	F	MFC	NCX	E81	81	NA	121.841	5
RMB193L.OFC	Macaque	RMB193L	F	OFC	NCX	E81	81	NA	121.841	5
RMB193L.S1C	Macaque	RMB193L	F	S1C	NCX	E81	81	NA	121.841	5
RMB193L.STC	Macaque	RMB193L	F	STC	NCX	E81	81	NA	121.841	5
RMB193L.VFC	Macaque	RMB193L	F	VFC	NCX	E81	81	NA	121.841	5
RMB202.AMY	Macaque	RMB202	M	AMY	AMY	E82	82	NA	126.083	5
RMB202.CBC	Macaque	RMB202	M	CBC	CBC	E82	82	NA	126.083	5
RMB202.HIP	Macaque	RMB202	M	HIP	HIP	E82	82	NA	126.083	5
RMB202.MD	Macaque	RMB202	M	MD	MD	E82	82	NA	126.083	5
RMB202.DFC	Macaque	RMB202	M	DFC	NCX	E82	82	NA	126.083	5
RMB202.ITC	Macaque	RMB202	M	ITC	NCX	E82	82	NA	126.083	5
RMB202.VFC	Macaque	RMB202	M	VFC	NCX	E82	82	NA	126.083	5
RMB202.STC	Macaque	RMB202	M	STC	NCX	E82	82	NA	126.083	5
RMB202.MFC	Macaque	RMB202	M	MFC	NCX	E82	82	NA	126.083	5
RMB202.V1C	Macaque	RMB202	M	V1C	NCX	E82	82	NA	126.083	5
RMB202.OFC	Macaque	RMB202	M	OFC	NCX	E82	82	NA	126.083	5
RMB202.M1C	Macaque	RMB202	M	M1C	NCX	E82	82	NA	126.083	5
RMB202.S1C	Macaque	RMB202	M	S1C	NCX	E82	82	NA	126.083	5
RMB202.IPC	Macaque	RMB202	M	IPC	NCX	E82	82	NA	126.083	5
RMB202.A1C	Macaque	RMB202	M	A1C	NCX	E82	82	NA	126.083	5
RMB202.STR	Macaque	RMB202	M	STR	STR	E82	82	NA	126.083	5
RMB227.MD	Macaque	RMB227	M	MD	MD	E80	80	NA	140.132	6
RMB227.A1C	Macaque	RMB227	M	A1C	NCX	E80	80	NA	140.132	6
RMB227.IPC	Macaque	RMB227	M	IPC	NCX	E80	80	NA	140.132	6
RMB227.MFC	Macaque	RMB227	M	MFC	NCX	E80	80	NA	140.132	6
RMB227.STR	Macaque	RMB227	M	STR	STR	E80	80	NA	140.132	6
RMB296.AMY	Macaque	RMB296	M	AMY	AMY	E111	111	NA	165.156	6
RMB296.CBC	Macaque	RMB296	M	CBC	CBC	E111	111	NA	165.156	6
RMB296.MD	Macaque	RMB296	M	MD	MD	E111	111	NA	165.156	6
RMB296.ITC	Macaque	RMB296	M	ITC	NCX	E111	111	NA	165.156	6
RMB296.STC	Macaque	RMB296	M	STC	NCX	E111	111	NA	165.156	6
RMB296.VFC	Macaque	RMB296	M	VFC	NCX	E111	111	NA	165.156	6
RMB296.V1C	Macaque	RMB296	M	V1C	NCX	E111	111	NA	165.156	6
RMB296.MFC	Macaque	RMB296	M	MFC	NCX	E111	111	NA	165.156	6
RMB296.OFC	Macaque	RMB296	M	OFC	NCX	E111	111	NA	165.156	6
RMB296.M1C	Macaque	RMB296	M	M1C	NCX	E111	111	NA	165.156	6
RMB296.S1C	Macaque	RMB296	M	S1C	NCX	E111	111	NA	165.156	6
RMB296.IPC	Macaque	RMB296	M	IPC	NCX	E111	111	NA	165.156	6
RMB296.A1C	Macaque	RMB296	M	A1C	NCX	E111	111	NA	165.156	6
RMB296.STR	Macaque	RMB296	M	STR	STR	E111	111	NA	165.156	6
RMB233.AMY	Macaque	RMB233	M	AMY	AMY	E110	110	NA	184.209	7
RMB233.CBC	Macaque	RMB233	M	CBC	CBC	E110	110	NA	184.209	7
RMB233.HIP	Macaque	RMB233	M	HIP	HIP	E110	110	NA	184.209	7
RMB233.MD	Macaque	RMB233	M	MD	MD	E110	110	NA	184.209	7
RMB233.A1C	Macaque	RMB233	M	A1C	NCX	E110	110	NA	184.209	7
RMB233.DFC	Macaque	RMB233	M	DFC	NCX	E110	110	NA	184.209	7
RMB233.IPC	Macaque	RMB233	M	IPC	NCX	E110	110	NA	184.209	7
RMB233.ITC	Macaque	RMB233	M	ITC	NCX	E110	110	NA	184.209	7
RMB233.M1C	Macaque	RMB233	M	M1C	NCX	E110	110	NA	184.209	7
RMB233.MFC	Macaque	RMB233	M	MFC	NCX	E110	110	NA	184.209	7
RMB233.OFC	Macaque	RMB233	M	OFC	NCX	E110	110	NA	184.209	7
RMB233.S1C	Macaque	RMB233	M	S1C	NCX	E110	110	NA	184.209	7
RMB233.STC	Macaque	RMB233	M	STC	NCX	E110	110	NA	184.209	7
RMB233.V1C	Macaque	RMB233	M	V1C	NCX	E110	110	NA	184.209	7
RMB233.VFC	Macaque	RMB233	M	VFC	NCX	E110	110	NA	184.209	7
RMB233.STR	Macaque	RMB233	M	STR	STR	E110	110	NA	184.209	7
RMB208.AMY	Macaque	RMB208	M	AMY	AMY	E110	110	NA	187.220	7
RMB208.CBC	Macaque	RMB208	M	CBC	CBC	E110	110	NA	187.220	7
RMB208.HIP	Macaque	RMB208	M	HIP	HIP	E110	110	NA	187.220	7
RMB208.MD	Macaque	RMB208	M	MD	MD	E110	110	NA	187.220	7
RMB208.DFC	Macaque	RMB208	M	DFC	NCX	E110	110	NA	187.220	7
RMB208.A1C	Macaque	RMB208	M	A1C	NCX	E110	110	NA	187.220	7
RMB208.VFC	Macaque	RMB208	M	VFC	NCX	E110	110	NA	187.220	7
RMB208.ITC	Macaque	RMB208	M	ITC	NCX	E110	110	NA	187.220	7
RMB208.MFC	Macaque	RMB208	M	MFC	NCX	E110	110	NA	187.220	7
RMB208.V1C	Macaque	RMB208	M	V1C	NCX	E110	110	NA	187.220	7
RMB208.OFC	Macaque	RMB208	M	OFC	NCX	E110	110	NA	187.220	7
RMB208.M1C	Macaque	RMB208	M	M1C	NCX	E110	110	NA	187.220	7
RMB208.S1C	Macaque	RMB208	M	S1C	NCX	E110	110	NA	187.220	7
RMB208.STC	Macaque	RMB208	M	STC	NCX	E110	110	NA	187.220	7
RMB208.STR	Macaque	RMB208	M	STR	STR	E110	110	NA	187.220	7
RMB200L.HIP	Macaque	RMB200L	M	HIP	HIP	E110	110	NA	247.134	7
RMB200L.MD	Macaque	RMB200L	M	MD	MD	E110	110	NA	247.134	7
RMB200L.A1C	Macaque	RMB200L	M	A1C	NCX	E110	110	NA	247.134	7
RMB200L.DFC	Macaque	RMB200L	M	DFC	NCX	E110	110	NA	247.134	7
RMB200L.IPC	Macaque	RMB200L	M	IPC	NCX	E110	110	NA	247.134	7
RMB200L.ITC	Macaque	RMB200L	M	ITC	NCX	E110	110	NA	247.134	7
RMB200L.M1C	Macaque	RMB200L	M	M1C	NCX	E110	110	NA	247.134	7
RMB200L.MFC	Macaque	RMB200L	M	MFC	NCX	E110	110	NA	247.134	7
RMB200L.OFC	Macaque	RMB200L	M	OFC	NCX	E110	110	NA	247.134	7
RMB200L.S1C	Macaque	RMB200L	M	S1C	NCX	E110	110	NA	247.134	7
RMB200L.STC	Macaque	RMB200L	M	STC	NCX	E110	110	NA	247.134	7
RMB200L.VFC	Macaque	RMB200L	M	VFC	NCX	E110	110	NA	247.134	7
RMB200L.STR	Macaque	RMB200L	M	STR	STR	E110	110	NA	247.134	7
RMB207.AMY	Macaque	RMB207	M	AMY	AMY	P2	166	NA	339.399	8
RMB207.CBC	Macaque	RMB207	M	CBC	CBC	P2	166	NA	339.399	8
RMB207.HIP	Macaque	RMB207	M	HIP	HIP	P2	166	NA	339.399	8
RMB207.MD	Macaque	RMB207	M	MD	MD	P2	166	NA	339.399	8
RMB207.DFC	Macaque	RMB207	M	DFC	NCX	P2	166	NA	339.399	8
RMB207.STC	Macaque	RMB207	M	STC	NCX	P2	166	NA	339.399	8
RMB207.VFC	Macaque	RMB207	M	VFC	NCX	P2	166	NA	339.399	8
RMB207.ITC	Macaque	RMB207	M	ITC	NCX	P2	166	NA	339.399	8
RMB207.MFC	Macaque	RMB207	M	MFC	NCX	P2	166	NA	339.399	8
RMB207.V1C	Macaque	RMB207	M	V1C	NCX	P2	166	NA	339.399	8
RMB207.OFC	Macaque	RMB207	M	OFC	NCX	P2	166	NA	339.399	8
RMB207.M1C	Macaque	RMB207	M	M1C	NCX	P2	166	NA	339.399	8
RMB207.S1C	Macaque	RMB207	M	S1C	NCX	P2	166	NA	339.399	8
RMB207.IPC	Macaque	RMB207	M	IPC	NCX	P2	166	NA	339.399	8
RMB207.A1C	Macaque	RMB207	M	A1C	NCX	P2	166	NA	339.399	8
RMB207.STR	Macaque	RMB207	M	STR	STR	P2	166	NA	339.399	8
RMB201L.AMY	Macaque	RMB201L	F	AMY	AMY	P0	164	NA	540.781	9
RMB201L.HIP	Macaque	RMB201L	F	HIP	HIP	P0	164	NA	540.781	9
RMB201L.MD	Macaque	RMB201L	F	MD	MD	P0	164	NA	540.781	9
RMB201L.A1C	Macaque	RMB201L	F	A1C	NCX	P0	164	NA	540.781	9
RMB201L.DFC	Macaque	RMB201L	F	DFC	NCX	P0	164	NA	540.781	9
RMB201L.M1C	Macaque	RMB201L	F	M1C	NCX	P0	164	NA	540.781	9
RMB201L.MFC	Macaque	RMB201L	F	MFC	NCX	P0	164	NA	540.781	9
RMB201L.OFC	Macaque	RMB201L	F	OFC	NCX	P0	164	NA	540.781	9
RMB201L.S1C	Macaque	RMB201L	F	S1C	NCX	P0	164	NA	540.781	9
RMB201L.VFC	Macaque	RMB201L	F	VFC	NCX	P0	164	NA	540.781	9
RMB201L.STR	Macaque	RMB201L	F	STR	STR	P0	164	NA	540.781	9
RMB291.AMY	Macaque	RMB291	M	AMY	AMY	1Y	529	NA	869.258	10
RMB291.CBC	Macaque	RMB291	M	CBC	CBC	1Y	529	NA	869.258	10
RMB291.HIP	Macaque	RMB291	M	HIP	HIP	1Y	529	NA	869.258	10
RMB291.MD	Macaque	RMB291	M	MD	MD	1Y	529	NA	869.258	10
RMB291.DFC	Macaque	RMB291	M	DFC	NCX	1Y	529	NA	869.258	10
RMB291.ITC	Macaque	RMB291	M	ITC	NCX	1Y	529	NA	869.258	10
RMB291.STC	Macaque	RMB291	M	STC	NCX	1Y	529	NA	869.258	10
RMB291.MFC	Macaque	RMB291	M	MFC	NCX	1Y	529	NA	869.258	10
RMB291.V1C	Macaque	RMB291	M	V1C	NCX	1Y	529	NA	869.258	10
RMB291.OFC	Macaque	RMB291	M	OFC	NCX	1Y	529	NA	869.258	10
RMB291.M1C	Macaque	RMB291	M	M1C	NCX	1Y	529	NA	869.258	10
RMB291.S1C	Macaque	RMB291	M	S1C	NCX	1Y	529	NA	869.258	10
RMB291.IPC	Macaque	RMB291	M	IPC	NCX	1Y	529	NA	869.258	10
RMB291.A1C	Macaque	RMB291	M	A1C	NCX	1Y	529	NA	869.258	10
