Entry	Entry Name	Organism	Length	Gene Names (primary)	Protein families
A0A087X1C5	CP2D7_HUMAN	Homo sapiens (Human)	515	CYP2D7	Cytochrome P450 family
A0A0B4J2F0	PIOS1_HUMAN	Homo sapiens (Human)	54	PIGBOS1	
A0A0B4J2F2	SIK1B_HUMAN	Homo sapiens (Human)	783	SIK1B	Protein kinase superfamily
A0A0C5B5G6	MOTSC_HUMAN	Homo sapiens (Human)	16	MT-RNR1	
A0A0K2S4Q6	CD3CH_HUMAN	Homo sapiens (Human)	201	CD300H	CD300 family
A0A0U1RRE5	NBDY_HUMAN	Homo sapiens (Human)	68	NBDY	
A0A1B0GTW7	CIROP_HUMAN	Homo sapiens (Human)	788	CIROP	Peptidase M8 family
A0A5B9	TRBC2_HUMAN	Homo sapiens (Human)	178	TRBC2	
A0AV02	S12A8_HUMAN	Homo sapiens (Human)	714	SLC12A8	SLC12A transporter family
A0AV96	RBM47_HUMAN	Homo sapiens (Human)	593	RBM47	RRM RBM47 family
A0AVF1	IFT56_HUMAN	Homo sapiens (Human)	554	TTC26	IFT56 family
A0AVI4	TM129_HUMAN	Homo sapiens (Human)	362	TMEM129	TMEM129 family
A0AVK6	E2F8_HUMAN	Homo sapiens (Human)	867	E2F8	E2F/DP family
A0AVT1	UBA6_HUMAN	Homo sapiens (Human)	1052	UBA6	Ubiquitin-activating E1 family
A0FGR8	ESYT2_HUMAN	Homo sapiens (Human)	921	ESYT2	Extended synaptotagmin family
A0FGR9	ESYT3_HUMAN	Homo sapiens (Human)	886	ESYT3	Extended synaptotagmin family
A0JLT2	MED19_HUMAN	Homo sapiens (Human)	244	MED19	Mediator complex subunit 19 family
A0JNW5	BLT3B_HUMAN	Homo sapiens (Human)	1464	BLTP3B	
A0JP26	POTB3_HUMAN	Homo sapiens (Human)	581	POTEB3	POTE family
A0M8Q6	IGLC7_HUMAN	Homo sapiens (Human)	106	IGLC7	
A0MZ66	SHOT1_HUMAN	Homo sapiens (Human)	631	SHTN1	Shootin family
A0PJK1	SC5AA_HUMAN	Homo sapiens (Human)	596	SLC5A10	Sodium:solute symporter (SSF) (TC 2.A.21) family
A0PJY2	FEZF1_HUMAN	Homo sapiens (Human)	475	FEZF1	Krueppel C2H2-type zinc-finger protein family
A0PK00	T120B_HUMAN	Homo sapiens (Human)	339	TMEM120B	TMEM120 family
A0PK11	CLRN2_HUMAN	Homo sapiens (Human)	232	CLRN2	Clarin family
A1A4S6	RHG10_HUMAN	Homo sapiens (Human)	786	ARHGAP10	
A1A4Y4	IRGM_HUMAN	Homo sapiens (Human)	181	IRGM	TRAFAC class dynamin-like GTPase superfamily
A1A519	F170A_HUMAN	Homo sapiens (Human)	330	FAM170A	FAM170 family
A1A5B4	ANO9_HUMAN	Homo sapiens (Human)	782	ANO9	Anoctamin family
A1A5C7	S22AN_HUMAN	Homo sapiens (Human)	686	SLC22A23	Major facilitator (TC 2.A.1) superfamily
A1E959	ODAM_HUMAN	Homo sapiens (Human)	279	ODAM	ODAM family
A1KXE4	F168B_HUMAN	Homo sapiens (Human)	195	FAM168B	FAM168 family
A1KZ92	PXDNL_HUMAN	Homo sapiens (Human)	1463	PXDNL	Peroxidase family
A1L0T0	HACL2_HUMAN	Homo sapiens (Human)	632	ILVBL	TPP enzyme family
A1L167	U2QL1_HUMAN	Homo sapiens (Human)	161	UBE2QL1	Ubiquitin-conjugating enzyme family
A1L190	SYCE3_HUMAN	Homo sapiens (Human)	88	SYCE3	
A1L390	PKHG3_HUMAN	Homo sapiens (Human)	1219	PLEKHG3	
A1L3X0	ELOV7_HUMAN	Homo sapiens (Human)	281	ELOVL7	ELO family
A1L4H1	SRCRL_HUMAN	Homo sapiens (Human)	1573	SSC5D	
A1L4K1	FSD2_HUMAN	Homo sapiens (Human)	749	FSD2	
A1X283	SPD2B_HUMAN	Homo sapiens (Human)	911	SH3PXD2B	SH3PXD2 family
A1XBS5	CBAR1_HUMAN	Homo sapiens (Human)	289	CIBAR1	CIBAR family
A1Z1Q3	MACD2_HUMAN	Homo sapiens (Human)	425	MACROD2	
A2A288	ZC12D_HUMAN	Homo sapiens (Human)	527	ZC3H12D	ZC3H12 family
A2A2Y4	FRMD3_HUMAN	Homo sapiens (Human)	597	FRMD3	
A2IDD5	CCD78_HUMAN	Homo sapiens (Human)	438	CCDC78	CCDC78 family
A2PYH4	HFM1_HUMAN	Homo sapiens (Human)	1435	HFM1	Helicase family
A2RRP1	NBAS_HUMAN	Homo sapiens (Human)	2371	NBAS	
A2RTX5	SYTC2_HUMAN	Homo sapiens (Human)	802	TARS3	Class-II aminoacyl-tRNA synthetase family
